datetime,city,state,country,shape,duration,comments,latitude,longitude,region,us_region
26/12/2013 17:51,columbia,MO,US,light,45,Falling light with flames/color surrounding it.,38.9516667,-92.3338889,US,Midwest
26/12/2013 18:00,alpharetta,GA,US,circle,1200,Four orange circular objects with triangle and lights at the top.,34.0752778,-84.2941667,US,Southeast
26/12/2013 21:00,los angeles,CA,US,cigar,1,Green short line falling down really fast in night sky.,34.0522222,-118.2427778,US,West
27/12/1998 1:00,stratham,NH,US,rectangle,30,I saw a rectangular shape in the sky. One blueish light in the center&#44 one &quot;pearl&quot; colored light at each end. No lights were flashing b,43.0238889,-70.9141667,US,Northeast
27/12/2000 19:15,ballater&#44 aberdeenshire (uk/scotland),EUROPE,GB,triangle,180,Triangular Craft hovering above the trees at the roadside 5 miles from Queens summer residence&#44 Balmoral Castle&#44 Royal Deeside Scotland,57.05003,-3.036649,Europe,EUROPE
27/12/2001 22:40,williamsburg,MI,US,triangle,40,Completely focused on the object  I coudnt figure out what it was.,44.7736111,-85.4038889,US,Midwest
27/12/2002 0:00,wayzata,MN,US,light,900,A small lights that moved fast and vanished in to the sky.,44.9741667,-93.5063889,US,Midwest
27/12/2003 5:30,spencerport,NY,US,triangle,600,Triangle figure with 3 bright lights flying low at almost 6AM,43.1863889,-77.8041667,US,Northeast
27/12/2003 15:44,highland,CA,US,triangle,155,I had just gotten home from HXXX DXXXX and was pulling stuff out of my truck when something cought my eye. At first I thought it was ba,34.1283333,-117.2077778,US,West
27/12/2004 9:05,sebring,FL,US,circle,30,Bright white light appeared in clear blue sky for about 30 seconds around 9 A.M.,27.4952778,-81.4411111,US,Southeast
27/12/2005 1:47,sacramento,CA,US,teardrop,15,Strange light in the shape of a teardrop&#44 slightly orange in color,38.5816667,-121.4933333,US,West
27/12/2005 2:30,fairfax,VA,US,sphere,12,A Neonish Red Sphere Appeared in the Night Sky,38.8461111,-77.3066667,US,Southeast
27/12/2005 18:30,lee,MA,US,unknown,300,Low flying and slow moving (and quiet) jet shaped crafts with strange light configurations.,42.3041667,-73.2486111,US,Northeast
27/12/2005 23:30,murphy,NC,US,light,30,One star appeared to get larger in diameter and was coming straight down.,35.0875,-84.0347222,US,Southeast
27/12/2006 2:00,mocksville,NC,US,circle,120,Bright white object seen with one bright white missile-like object shooting out from the bottom,35.8938889,-80.5616667,US,Southeast
27/12/2006 7:40,bellvue,ID,US,flash,2,Electric Blue EMP in central IDAHO,43.463518,-114.2606,US,West
27/12/2006 18:25,perry,GA,US,egg,900,Unusual objects moving parallel to I-75,32.4580556,-83.7316667,US,Southeast
27/12/2006 20:30,st. george,UT,US,fireball,7,the object moved at speed from one place to enother&#44then stop exploited with green light,37.1041667,-113.5833333,US,West
27/12/2007 7:30,garland,TX,US,disk,600,Dark Gray smokey shaped saucer above the highway,32.9125,-96.6386111,US,Southeast
27/12/2008 18:00,st. cloud,MN,US,triangle,3600,((HOAX))  triangle in the sky 12/27/08 800pm just south of st cloud betwen I94 and 75,45.5608333,-94.1622222,US,Midwest
27/12/2008 19:30,newberry,NC,US,light,20,Large green light appeared falling from sky and disappearing behind mountains-no tail or aura present.,35.108493,-77.044114,US,Southeast
27/12/2008 20:15,spring hill,FL,US,cigar,2,ufo over springhill florida,28.5555556,-82.4505556,US,Southeast
27/12/2009 0:07,oshawa (canada),AMERICA,CA,sphere,5,Low flying bright neon green spherical object moving slow just above houses,43.9,-78.866667,America,AMERICA
27/12/2009 5:45,spring grove,PA,US,rectangle,300,Sighting in Spring Grove PA -Revised,39.8744444,-76.8661111,US,Northeast
27/12/2011 19:15,auburn,CA,US,sphere,60,Large and orange amber colored sphere hovering in the sky over Auburn&#44 CA,38.8966667,-121.0758333,US,West
27/12/2011 22:00,puyallup,WA,US,other,3,I was upstairs cleaning out a closet and my husband was sleeping; the kids were downstairs and started screaming as they loudly ran up,47.1855556,-122.2916667,US,West
27/12/2012 22:00,spokane,WA,US,oval,900,Lights seen onve Spokane.,47.6588889,-117.425,US,West
27/12/2013 17:10,shrewsbury,MA,US,light,300,Bright light heading east. No sound. Just after dusk.,42.2958333,-71.7133333,US,Northeast
27/12/2013 17:30,marietta,MN,US,light,120,&quot;Star&quot; glows orange and spins in vortex&#44 flies off at great speed.,45.0083333,-96.4172222,US,Midwest
27/12/2013 18:00,port saint lucie,FL,US,oval,600,Craft was darting around with no sound.,27.2936111,-80.3505556,US,Southeast
27/12/2013 18:45,haverhill,MA,US,cigar,60,It was not far above the tree line&#44 200 feet?.....cruising along at the speed of a plane....but it had a different look than a plane...,42.7761111,-71.0777778,US,Northeast
27/12/2013 19:00,tucson,AZ,US,fireball,120,Looked like a bright orange fire flying across the sky of Tucson.,32.2216667,-110.9258333,US,Southwest
27/12/2013 19:12,vista,CA,US,triangle,600,Low flying triangular objects changing colors 10 minutes apart San Diego North County.,33.2,-117.2416667,US,West
27/12/2013 19:30,wrightsville beach,NC,US,other,600,Orange colored object in the eastern sky over the ocean near Wrightsvillle Beach&#44 NC.,34.2083333,-77.7966667,US,Southeast
27/12/2013 20:27,sterling,VA,US,light,660,10 Redish orange lights not blinking near Dulles Airport Sterling VA. 20:25 till 20:34 12/27/13.,39.0061111,-77.4288889,US,Southeast
